Date,RPE,Duration_mins,Sleep,Fatigue
2026-07-15,6,45,7,2
2026-07-16,5,60,8,2
2026-07-17,4,60,7,2
2026-07-18,4,45,7,3
2026-07-19,5,45,8,2
2026-07-20,5,60,7,2
2026-07-21,5,45,8,3
2026-07-22,6,75,9,3
2026-07-23,6,45,9,2
2026-07-24,4,60,8,2
2026-07-25,4,45,7,4
2026-07-26,6,75,9,2
2026-07-27,5,75,8,2
2026-07-28,5,45,8,3
2026-07-29,6,75,9,3
2026-07-30,4,75,8,3
2026-07-31,5,45,9,4
2026-08-01,6,45,7,4
2026-08-02,5,75,9,4
2026-08-03,5,75,8,4
2026-08-04,4,75,7,2
2026-08-05,5,75,8,3
2026-08-06,5,60,7,2
2026-08-07,6,45,7,3
2026-08-08,4,75,9,2
2026-08-09,6,60,7,3
2026-08-10,5,60,7,2
2026-08-11,4,75,8,3
2026-08-12,6,60,8,3
2026-08-13,6,60,7,2
2026-08-14,5,60,8,2
2026-08-15,4,60,8,4
2026-08-16,4,75,7,3
2026-08-17,4,60,8,4
2026-08-18,4,75,7,4
2026-08-19,6,45,7,3
2026-08-20,5,45,8,3
2026-08-21,5,75,7,3
2026-08-22,6,45,7,4
2026-08-23,6,75,9,3
2026-08-24,6,75,7,3
2026-08-25,6,45,7,4
2026-08-26,4,75,8,3
2026-08-27,5,60,8,4
2026-08-28,6,45,9,4
2026-08-29,4,75,7,2
2026-08-30,5,45,9,3
2026-08-31,4,60,8,3
2026-09-01,5,60,9,2
2026-09-02,5,45,7,3
2026-09-03,4,60,8,3
2026-09-04,5,45,8,4
2026-09-05,6,75,7,2
2026-09-06,8,120,3,9
2026-09-07,10,100,4,8
2026-09-08,9,120,5,9
2026-09-09,9,100,5,9
2026-09-10,8,100,4,9
2026-09-11,8,100,4,8
2026-09-12,10,100,3,7
